name,author,isbn,urls,passwds
日本及其历史枷锁,塔格特・墨菲,9787521723601,"https://url66.ctfile.com/d/14804066-46740927-03ab7c,https://sobooks.lanzouo.com/b03ohqsla,https://sobooks.cloud/2022/01/19393.epub","666888,4fn6,"
柏林病人,娜塔莉亚・霍尔特,9787520183994,"https://url66.ctfile.com/d/14804066-46740801-909c34,https://sobooks.lanzouo.com/b03ohqpne,https://sobooks.cloud/2022/01/19388.epub","666888,3ph1,"
入夜识,FL-ZC小花/何敬尧,9787540496425,"https://url66.ctfile.com/d/14804066-46740828-c7345b,https://sobooks.lanzouo.com/b03ohqrsb,https://sobooks.cloud/2022/01/19392.epub","666888,fpa2,"
以鸟兽之名,孙频,9787020170180,"https://url66.ctfile.com/d/14804066-46740795-a4a4e2,https://sobooks.lanzouo.com/b03ohqp0b,https://sobooks.cloud/2022/01/19387.epub","666888,acbk,"
电视人,村上春树,9787532788057,"https://url66.ctfile.com/d/14804066-46740813-aa25cc,https://sobooks.lanzouo.com/b03ohqqna,https://sobooks.cloud/2022/01/19390.epub","666888,2a1m,"
神奈川冲浪外,南希・K. 斯托克,9787520168199,"https://url66.ctfile.com/d/14804066-46740819-3abefb,https://sobooks.lanzouo.com/b03ohqr3g,https://sobooks.cloud/2022/01/19391.epub","666888,97gx,"
贪婪的多巴胺,丹尼尔・利伯曼等,9787521731583,"https://url66.ctfile.com/d/14804066-46740804-92a4bb,https://sobooks.lanzouo.com/b03ohqq6d,https://sobooks.cloud/2022/01/19389.epub","666888,3lua,"
国宝来了,马菁菁,9787559645678,"https://url66.ctfile.com/d/14804066-46722492-9c3d20,https://sobooks.lanzouo.com/b03ohkixg,https://sobooks.cloud/2022/01/19382.epub","666888,9ocj,"
横滨中华街（1894～1972）,韩清安,9787520180566,"https://url66.ctfile.com/d/14804066-46722459-7e748e,https://sobooks.lanzouo.com/b03ohkhbi,https://sobooks.cloud/2022/01/19380.epub","666888,g1l7,"
跟着文物穿越历史,张志浩,9787513936330,"https://url66.ctfile.com/d/14804066-46722474-bd15af,https://sobooks.lanzouo.com/b03ohkibe,https://sobooks.cloud/2022/01/19381.epub","666888,8krj,"
太空居民,克里斯托弗・万杰克,9787520185226,"https://url66.ctfile.com/d/14804066-46722450-601616,https://sobooks.lanzouo.com/b03ohkfrc,https://sobooks.cloud/2022/01/19379.epub","666888,fl7r,"
自洽：在不确定的日子里向内看,史欣悦,9787521736366,"https://url66.ctfile.com/d/14804066-46722426-dd9f0d,https://sobooks.lanzouo.com/b03ohkf4j,https://sobooks.cloud/2022/01/19378.epub","666888,c8vg,"
股票魔法师3,Mark Minervini,9787121410406,"https://url66.ctfile.com/d/14804066-46722417-62500e,https://sobooks.lanzouo.com/b03ohkefe,https://sobooks.cloud/2022/01/19377.epub","666888,h9ig,"
法国大革命前夕的图书世界,罗伯特・达恩顿,9787208166660,"https://url66.ctfile.com/d/14804066-46744626-b7e6b9,https://sobooks.lanzouo.com/b03ohkdtc,https://sobooks.cloud/2022/01/19376.epub","666888,hfix,"
宇宙的孩子,迈克尔・乔莱特,9787521728798,"https://url66.ctfile.com/d/14804066-46695459-0e4b0f,https://sobooks.lanzouo.com/b03ohbbqd,https://sobooks.cloud/2022/01/19373.epub","666888,bee5,"
灵长类人科动物图鉴,向田邦子,9787505743762,"https://url66.ctfile.com/d/14804066-46695399-5e1363,https://sobooks.lanzouo.com/b03ohbb9g,https://sobooks.cloud/2022/01/19372.epub","666888,8et1,"
懒惰脑科学,鲍里斯・薛瓦勒等,9787570223961,"https://url66.ctfile.com/d/14804066-46695378-1cb163,https://sobooks.lanzouo.com/b03ohbaij,https://sobooks.cloud/2022/01/19370.epub","666888,heuu,"
故宫里的中国,祝勇,9787020169412,"https://url66.ctfile.com/d/14804066-46695366-492951,https://sobooks.lanzouo.com/b03ohb9oj,https://sobooks.cloud/2022/01/19368.epub","666888,hn55,"
白兔,伊坂幸太郎,9787544285322,"https://url66.ctfile.com/d/14804066-46695375-b1fcaa,https://sobooks.lanzouo.com/b03ohb9za,https://sobooks.cloud/2022/01/19369.epub","666888,dyx8,"
小说六讲,王安忆,9787208171251,"https://url66.ctfile.com/d/14804066-46695381-6fe0e6,https://sobooks.lanzouo.com/b03ohbb0h,https://sobooks.cloud/2022/01/19371.epub","666888,a0zg,"
东大教授世界文学讲义系列（套装全5册）,沼野充义,9787533965792,"https://url66.ctfile.com/d/14804066-46693359-7c6c7d,https://sobooks.lanzouo.com/b03ohb8pe,https://sobooks.cloud/2022/01/19366.epub","666888,6qdz,"
去中国的小船,村上春树,9787532788033,"https://url66.ctfile.com/d/14804066-46695363-feaf7f,https://sobooks.lanzouo.com/b03ohb97c,https://sobooks.cloud/2022/01/19367.epub","666888,bxuj,"
佩拉宫的午夜,查尔斯・金,9787509795651,"https://url66.ctfile.com/d/14804066-46659501-64122d,https://sobooks.lanzouo.com/b03ogzdvi,https://sobooks.cloud/2022/01/19360.epub","666888,1a7i,"
罗马史纲,李筠,9787553812472,"https://url66.ctfile.com/d/14804066-46659495-b81cbd,https://sobooks.lanzouo.com/b03ogzd5c,https://sobooks.cloud/2022/01/19359.epub","666888,50g0,"
神兽引领的使命,小松美羽,9787540479817,"https://url66.ctfile.com/d/14804066-46659504-960a9a,https://sobooks.lanzouo.com/b03ogze6j,https://sobooks.cloud/2022/01/19361.epub","666888,9qip,"
文治帝国,艾公子,9787559651631,"https://url66.ctfile.com/d/14804066-46659342-e09412,https://sobooks.lanzouo.com/b03ogzc6h,https://sobooks.cloud/2022/01/19357.epub","666888,3kwe,"
